监听点及其距离:
监听点 = [147.63002  146.295609  28.179783], 距离 = 0.8531060058632949
监听点 = [202.566589  96.756714  20.903631], 距离 = 1.0052789825048531
监听点 = [147.693924 200.853714  35.144722], 距离 = 1.3799868351697993
监听点 = [152.560562  91.838188  20.415512], 距离 = 1.6060046008168842
监听点 = [202.628464 146.283981  27.767153], 距离 = 1.6628052380985598
监听点 = [97.560936 91.871765 20.663771], 距离 = 1.8995265543750652
监听点 = [ 97.625031 141.357224  27.840433], 距离 = 2.3145957275241296
监听点 = [202.696701 205.830093  35.154163], 距离 = 2.3326225554600515
监听点 = [ 97.690262 195.890518  34.991089], 距离 = 3.0027705808937766
最大距离: 33.41556181411802, 点A: [ 47.75362  250.496063  42.054935], 点B: [ 24.741922 274.617584  44.338299]
最小距离: 0.0777948922744915, 点A: [127.580185 106.694778  22.713577], 点B: [127.531013 106.708794  22.772209]
点集A到点集B的最小距离:
点A[0] = [252.503326  47.218506  13.667773], 最小距离 = 1.622984492630782, 对应点B = [252.122452  48.773476  13.934385]
点A[1] = [247.503296  47.222862  13.680583], 最小距离 = 1.062070507848232, 对应点B = [247.89357   46.242069  13.563429]
点A[2] = [242.503265  47.22723   13.693306], 最小距离 = 1.9106123993267135, 对应点B = [240.594604  47.144196  13.669678]
点A[3] = [237.50322   47.231609  13.705935], 最小距离 = 0.5282628093553515, 对应点B = [236.975204  47.221443  13.693391]
点A[4] = [232.503189  47.236004  13.71847 ], 最小距离 = 3.203012744239396, 对应点B = [232.920349  50.37632   14.191422]
点A[5] = [227.503143  47.24041   13.730905], 最小距离 = 0.9516002304986005, 对应点B = [226.611435  46.912285  13.678619]
点A[6] = [222.503113  47.244827  13.743241], 最小距离 = 0.5860050610685869, 对应点B = [222.963455  46.892342  13.658144]
点A[7] = [217.503067  47.24926   13.755483], 最小距离 = 1.0297499810750201, 对应点B = [217.725189  48.251492  13.836587]
点A[8] = [212.503036  47.253704  13.767632], 最小距离 = 1.3961242876184083, 对应点B = [211.387314  48.084267  13.888017]
点A[9] = [207.502991  47.25816   13.779697], 最小距离 = 3.972675567697161, 对应点B = [211.387314  48.084267  13.888017]
点A[10] = [202.50296   47.262627  13.791684], 最小距离 = 0.8955652980804946, 对应点B = [201.758331  46.788513  13.640751]
点A[11] = [197.502914  47.267101  13.803605], 最小距离 = 0.5572087280920819, 对应点B = [197.252869  46.803795  13.621104]
点A[12] = [192.502869  47.271584  13.815472], 最小距离 = 1.5241814687172273, 对应点B = [191.113922  46.674088  13.623238]
点A[13] = [187.502823  47.27607   13.827298], 最小距离 = 3.666614078373257, 对应点B = [191.113922  46.674088  13.623238]
