监听点及其距离:
监听点 = [202.376007 254.858154  72.087563], 距离 = 1.2122679840748696
监听点 = [202.230057 254.885391  62.088665], 距离 = 1.2154716254199551
监听点 = [202.084106 254.912231  52.089767], 距离 = 1.2181724616494183
监听点 = [147.308884 254.864914  67.890816], 距离 = 1.237467880243386
监听点 = [152.162399 254.892517  57.818943], 距离 = 1.2405801694477328
监听点 = [152.089432 254.905685  52.819492], 距离 = 1.2410197428457874
监听点 = [ 97.314209 254.854492  68.620537], 距离 = 1.2657081695975578
监听点 = [ 97.168259 254.881302  58.621635], 距离 = 1.2683463341777053
监听点 = [ 97.022316 254.907669  48.622734], 距离 = 1.2706132451662857
最大距离: 1.377683877818825, 点A: [ 47.465485 254.813736  79.349144], 点B: [ 47.466534 256.190887  79.310844]
最小距离: 1.2096685558172444, 点A: [202.448975 254.844604  77.087013], 点B: [202.452072 256.049286  77.196693]
点集A到点集B的最小距离:
点A[0] = [ 47.465485 254.813736  79.349144], 最小距离 = 1.377683877818825, 对应点B = [ 47.466534 256.190887  79.310844]
点A[1] = [ 47.392513 254.827194  74.349693], 最小距离 = 1.3703772848011753, 对应点B = [ 47.398346 256.197021  74.311302]
点A[2] = [ 47.319538 254.840775  69.350243], 最小距离 = 1.3633613834027956, 对应点B = [ 47.330158 256.203552  69.311768]
点A[3] = [ 47.246563 254.85437   64.350792], 最小距离 = 1.3582706264073297, 对应点B = [ 47.261971 256.212006  64.312241]
点A[4] = [ 47.173588 254.867966  59.351345], 最小距离 = 1.3562456294616918, 对应点B = [ 47.193783 256.223511  59.312717]
点A[5] = [ 47.100613 254.881531  54.351894], 最小距离 = 1.3581111112276396, 对应点B = [ 47.125599 256.238861  54.313206]
点A[6] = [ 47.027641 254.895111  49.352448], 最小距离 = 1.3641873480094087, 对应点B = [ 47.057415 256.258423  49.313705]
点A[7] = [ 46.954666 254.908737  44.352997], 最小距离 = 1.3744721475027906, 对应点B = [ 46.989235 256.282227  44.314217]
点A[8] = [ 52.464954 254.815155  79.276169], 最小距离 = 1.357898276227643, 对应点B = [ 52.466061 256.172638  79.242607]
点A[9] = [ 52.391979 254.828598  74.276718], 最小距离 = 1.352314449730522, 对应点B = [ 52.397873 256.180481  74.243073]
点A[10] = [ 52.319004 254.842163  69.277275], 最小距离 = 1.3466260456604362, 对应点B = [ 52.329685 256.188324  69.243538]
点A[11] = [ 52.246029 254.855743  64.277824], 最小距离 = 1.342434050727995, 对应点B = [ 52.261497 256.197662  64.244011]
